"","Author","Bar","Ctrl","Goal","V5","V6","V7","V8"
"28",-0.947298766009415,-0.560513153514918,-0.353137589050873,1.45672852296367,-1.38082843262197,-3.97684223769366,-3.73287442966743,-0.827088096017461
"42",-0.674649601580145,-0.338006421389485,-2.367233351809,-0.507929186084895,-0.0996950712766843,-0.120812954623651,0.764402911836463,0.435420159168067
"43",0.176110410492157,-0.730688043070002,0.273624552036436,-0.783015873591041,2.58017319619548,1.78281227778165,1.84606658049417,-0.810089419512717
"44",-1.05332968393643,-0.0512441304617838,-0.979075994755447,0.488012953556135,0.752291243473808,0.168443606670638,0.214085630559063,0.995506791477138
"71",1.14049335432104,0.748775881607208,-0.809722811905242,0.323083295486245,-0.207084325975026,-1.00495903362352,0.277095553819464,-0.871609621992317
"87",0.312039697202642,-0.506024633275326,0.306464312378271,-1.14560974121994,-0.474588568315367,0.619895235865763,0.089501097429964,-0.185679701977079
"88",-1.13396557579032,-0.488921497652143,-0.566852913871798,-0.548120853055605,0.526871113809393,0.773833102532413,2.45923938427808,1.21127176927926
"89",0.108449012439322,-0.0762118186033394,0.0291635261472448,-0.308949709532195,-1.14790936255275,-0.266650840902058,0.402116911240967,-1.03296788523341
"99",0.792484093172815,-0.0916559707596773,-0.0881745731738343,-0.995908020186106,0.565873885018192,1.47596931429175,1.98213045241531,-0.410553893686723
"106",0.331130843741677,1.37637443145017,-0.265890826442577,-0.0920377886464264,3.23934455822808,3.56393320311055,0.989398045612199,1.50986816905905
"142",-0.110151257171535,0.879644674055307,0.333046937666786,-1.12813690738336,1.47056829723552,0.935807365206366,-0.976541924457137,-0.312362719614575
"159",0.105985595917828,0.959119172745115,0.722788486957681,1.45970914777364,2.67473946466258,3.38903098961374,2.4100476851423,0.766483148839575
"164",-0.492055149533403,-0.0986778649436154,-1.41306735057159,2.06302047667162,-0.450287601657366,-0.118824579898652,1.32915992637587,0.745397290905894
"168",-0.319941099204809,-0.900906668484289,-0.82176900757048,0.137509688540033,-0.7590328543036,-1.84314787093743,-0.819180543093255,0.0687463886071607
"170",0.755732968520809,-0.26388161605972,0.0654886860356645,-0.279658825909634,-0.573685643367305,-0.22635436843871,-0.32101298381409,0.578186061978561
"175",1.2641749145106,-0.231509053372634,-0.407710263586001,-1.21211385859661,-1.67793232372024,-2.27103600560733,-0.831570315629474,-0.185156363022634
"177",0.248570267863755,0.817587061216391,0.854380888668604,0.473041139485069,1.05422168959604,0.357379628944372,-0.525225799656839,0.148297143686796
"180",0.761779889797171,0.457595511132115,0.0911604695878952,2.15016638233189,0.801126083758403,1.2691641782893,0.355715969208146,0.996552195363002
"181",-0.444570506207949,-0.780436484902591,0.392986140751488,-0.139700436494087,0.0917231230445311,0.515611368949021,-0.65191600969736,-0.995421191806423
"182",-1.21359328716896,0.400104792429456,1.70049036278444,-1.1284631858541,-0.402084373124164,0.19658318578659,0.777555529421771,1.53230670861683
"185",-0.634338824021807,-0.655366214401599,0.38484859567244,-0.136673714039164,-0.956627935388307,-0.0114443677353098,-0.695821506380444,-1.68698942543857
"202",-0.847326299604398,-0.792481218036734,-0.120281450643327,0.859671660851622,-0.689806504847531,-2.64696448329194,0.389313197567055,0.508258510620174
